respondent_id,_true_persona_segment,_is_noisy_responder,_is_outlier,A1_age_group,A2_residency_status,A3_emirate,A4_occupation_status,A5_gender,B1_stress_frequency,B2_stress_severity_1to10,B4_coping_ability,C1_stigma_comfort_1to5,C2_stigma_judged,D1_interest_in_tool,D3_recommend_likelihood_1to5,E1_ai_comfort_1to5,E4_ai_rec_likelihood_1to5,E5_trust_preference,F1_would_use,F2_would_pay,F4_language_preference,B3_Academics / studies,B3_Career or work,B3_Cultural or religious expectations,B3_Family expectations,B3_Friendships or romantic relationships,B3_Future or financial uncertainty,B3_Other,B3_Social media or self-image,B5_Family,B5_Friends,B5_No one,B5_Online community,B5_Other,B5_Religious or community figure,B5_Teacher or mentor,B5_Therapist or counselor,C3_Cost,C3_Dont know where to go,C3_Family disapproval,C3_Fear of being judged,C3_Feel its not serious enough,C3_Lack of privacy,C3_Lack of time,C3_Nothing stops me,D2_24/7 chat-based support,D2_Academic or work-life coaching,D2_Access to licensed therapists,D2_Crisis support,D2_Mood tracking over time,D2_Peer community my age,D2_Personalized advice,D2_Quick stress relief techniques,E2_Accuracy or safety of advice,E2_Cant replace real therapy,E2_Conflicts with religious or cultural values,E2_Lack of real empathy,E2_No real concerns,E2_Privacy or data security,E3_Built with mental health professionals,E3_Endorsed by religious or community leaders,E3_Free or low-cost access,E3_Nothing would increase trust,E3_Option to escalate to human,E3_Positive reviews from peers,E3_Strong privacy guarantees,F3_In-person workshops,F3_Mobile app,F3_Social media-based content,F3_Website,F3_WhatsApp or chat-based
11,Curious_Pragmatist,0,0,21-24,UAE National (Emirati),Abu Dhabi,Both studying and working,Female,Often,9,Somewhat,4,Somewhat,Probably,4,3,5,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",Both English and Arabic,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
12,Curious_Pragmatist,0,0,25-27,International student (short-term),Abu Dhabi,Both studying and working,Female,Almost always,4,Not sure,2,"Yes, a lot",Definitely,3,5,4,Human professional only,"Yes, definitely",Only if free version available,Both English and Arabic,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1
13,Distressed_Skeptic,0,0,25-27,Other,Abu Dhabi,Working professional,Female,Never,8,"No, not really",2,"Yes, a lot",Not sure,2,2,3,Human professional only,No,No,English,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
14,Curious_Pragmatist,0,0,15-17,International student (short-term),Sharjah,In college or university,Male,Sometimes,8,Somewhat,3,Somewhat,Probably,3,4,4,Human professional only,"Yes, definitely","Yes, willing to pay",English,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15,Curious_Pragmatist,0,0,25-27,Expatriate resident,Ras Al Khaimah,Currently not studying or working,Female,Often,5,Somewhat,2,"Yes, a lot",Probably,3,3,3,AI + human (hybrid),Maybe,Only if free version available,Both English and Arabic,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
16,Curious_Pragmatist,0,0,25-27,UAE National (Emirati),Ras Al Khaimah,Working professional,Prefer not to say,Sometimes,6,"Yes, definitely",3,Somewhat,Probably,5,4,4,No preference,No,Only if free version available,Arabic,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0
17,Resilient_Optimizer,0,0,21-24,Expatriate resident,Dubai,Both studying and working,Male,Sometimes,4,Somewhat,5,Not really,Definitely,4,3,3,AI + human (hybrid),No,Not sure,English,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
18,Tech_Savvy_Trusting,0,0,18-20,Expatriate resident,Abu Dhabi,In college or university,Female,Almost always,7,Somewhat,2,Not at all,Definitely,4,4,5,AI on its own,Maybe,"Yes, willing to pay",English,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
19,Low_Need_Indifferent,1,0,15-17,UAE National (Emirati),Ras Al Khaimah,In school (middle/high school),Male,Rarely,3,Somewhat,4,Somewhat,Probably not,2,2,3,Human professional only,"Yes, definitely",Only if free version available,Both English and Arabic,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20,Resilient_Optimizer,0,0,25-27,UAE National (Emirati),Abu Dhabi,Both studying and working,Female,Rarely,5,"Yes, definitely",3,Somewhat,Not sure,5,3,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",Both English and Arabic,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
21,Distressed_Skeptic,0,0,21-24,UAE National (Emirati),Fujairah,In college or university,Female,Sometimes,9,"No, not really",1,Somewhat,Definitely,3,2,2,Human professional only,No,Only if free version available,Both English and Arabic,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1
22,Distressed_Skeptic,0,0,15-17,International student (short-term),Umm Al Quwain,In college or university,Female,Almost always,8,"No, not really",2,Somewhat,Definitely not,3,1,2,Human professional only,No,No,English,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
23,Low_Need_Indifferent,1,0,25-27,Other,Dubai,Working professional,Female,Rarely,2,Somewhat,3,Somewhat,Probably,4,3,3,AI + human (hybrid),Maybe,No,Other,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
24,Distressed_Skeptic,0,0,25-27,Expatriate resident,Abu Dhabi,Both studying and working,Female,Often,9,Not sure,2,Not really,Definitely,3,3,1,AI + human (hybrid),No,Only if free version available,English,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1
25,Distressed_Skeptic,0,0,21-24,Expatriate resident,Abu Dhabi,Working professional,Male,Often,8,Not sure,2,"Yes, a lot",Not sure,3,1,2,Human professional only,No,No,Both English and Arabic,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
26,Curious_Pragmatist,0,0,18-20,Expatriate resident,Ras Al Khaimah,In college or university,Female,Rarely,5,Somewhat,3,"Yes, a lot",Probably,4,3,2,AI on its own,No,Only if free version available,Both English and Arabic,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
27,Curious_Pragmatist,0,0,21-24,Expatriate resident,Dubai,Working professional,Female,Rarely,6,Somewhat,3,Somewhat,Probably,3,2,4,AI + human (hybrid),Maybe,Not sure,English,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
28,Resilient_Optimizer,0,0,12-14,Expatriate resident,Ras Al Khaimah,In school (middle/high school),Male,Sometimes,4,"Yes, definitely",4,"Yes, a lot",Definitely,4,5,4,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
29,Low_Need_Indifferent,0,0,15-17,Expatriate resident,Sharjah,In college or university,Female,Rarely,3,"No, not really",4,Somewhat,Definitely not,3,3,2,No preference,No,No,English,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0
30,Curious_Pragmatist,0,0,21-24,Expatriate resident,Ajman,In college or university,Female,Sometimes,7,Somewhat,3,Somewhat,Definitely,4,3,3,AI + human (hybrid),"Yes, definitely",Not sure,English,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
31,Curious_Pragmatist,0,0,15-17,Expatriate resident,Dubai,Both studying and working,Male,Rarely,7,Somewhat,4,Not really,Not sure,5,4,4,AI on its own,"Yes, definitely",No,English,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
32,Distressed_Skeptic,0,0,25-27,Other,Abu Dhabi,Working professional,Male,Rarely,9,Not sure,1,Not at all,Definitely,1,2,2,AI + human (hybrid),No,Only if free version available,Other,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
33,Distressed_Skeptic,0,0,12-14,Expatriate resident,Sharjah,In school (middle/high school),Male,Often,9,Somewhat,1,Somewhat,Probably,2,3,1,Human professional only,No,Only if free version available,Both English and Arabic,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1
34,Distressed_Skeptic,0,0,12-14,International student (short-term),Dubai,Currently not studying or working,Male,Often,7,"No, not really",2,"Yes, a lot",Probably,3,2,2,Human professional only,Maybe,Only if free version available,English,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1
35,Low_Need_Indifferent,0,0,25-27,Expatriate resident,Dubai,Working professional,Male,Rarely,3,Somewhat,4,Not at all,Definitely not,2,2,3,Human professional only,No,No,Both English and Arabic,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0
36,Distressed_Skeptic,0,0,25-27,Expatriate resident,Dubai,Working professional,Male,Often,8,"No, not really",1,Not really,Not sure,1,1,1,Human professional only,No,Only if free version available,English,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0
37,Curious_Pragmatist,0,0,15-17,International student (short-term),Abu Dhabi,In college or university,Male,Sometimes,6,Somewhat,3,"Yes, a lot",Definitely,2,3,4,Human professional only,"Yes, definitely","Yes, willing to pay",English,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
38,Distressed_Skeptic,0,0,21-24,Expatriate resident,Dubai,In college or university,Female,Often,6,"No, not really",1,Somewhat,Definitely not,1,1,2,AI + human (hybrid),Maybe,Only if free version available,English,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
39,Tech_Savvy_Trusting,1,0,18-20,UAE National (Emirati),Ajman,In college or university,Female,Rarely,6,Somewhat,4,Not really,Definitely,2,3,4,AI + human (hybrid),"Yes, definitely",No,Both English and Arabic,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
40,Distressed_Skeptic,0,0,18-20,Expatriate resident,Dubai,In college or university,Male,Often,9,Somewhat,2,Somewhat,Not sure,1,2,2,Human professional only,No,Only if free version available,Both English and Arabic,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0
41,Curious_Pragmatist,0,0,15-17,International student (short-term),Dubai,In school (middle/high school),Female,Often,3,Somewhat,4,Somewhat,Definitely,4,4,3,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1
42,Tech_Savvy_Trusting,0,0,15-17,Expatriate resident,Dubai,In school (middle/high school),Male,Rarely,7,Somewhat,3,"Yes, a lot",Definitely,4,5,4,AI on its own,Maybe,"Yes, willing to pay",Both English and Arabic,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
43,Curious_Pragmatist,0,0,18-20,Expatriate resident,Dubai,In college or university,Female,Often,8,"No, not really",5,Somewhat,Not sure,5,4,4,AI on its own,"Yes, definitely","Yes, willing to pay",English,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
44,Tech_Savvy_Trusting,0,0,12-14,UAE National (Emirati),Ras Al Khaimah,In school (middle/high school),Male,Almost always,8,"Yes, definitely",4,Somewhat,Definitely,5,5,5,AI on its own,"Yes, definitely","Yes, willing to pay",English,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1
45,Low_Need_Indifferent,0,0,15-17,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Rarely,4,"No, not really",1,Somewhat,Probably not,1,2,3,AI + human (hybrid),No,No,Both English and Arabic,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0
46,Low_Need_Indifferent,0,0,15-17,Expatriate resident,Ajman,In school (middle/high school),Female,Rarely,2,"Yes, definitely",4,Somewhat,Not sure,2,2,2,Human professional only,Maybe,No,English,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1
47,Distressed_Skeptic,0,0,15-17,Expatriate resident,Ras Al Khaimah,In school (middle/high school),Female,Often,8,"No, not really",1,"Yes, a lot",Probably not,3,2,1,Human professional only,No,No,Both English and Arabic,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
48,Curious_Pragmatist,1,0,25-27,Expatriate resident,Abu Dhabi,Working professional,Male,Sometimes,6,Somewhat,4,Not really,Probably,3,3,3,No preference,Maybe,No,Both English and Arabic,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
49,Curious_Pragmatist,0,0,12-14,UAE National (Emirati),Dubai,In school (middle/high school),Female,Almost always,7,Not sure,5,Somewhat,Definitely,2,4,4,AI on its own,"Yes, definitely","Yes, willing to pay",Both English and Arabic,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1
50,Tech_Savvy_Trusting,0,0,21-24,Expatriate resident,Dubai,In college or university,Male,Often,5,"Yes, definitely",2,Not really,Definitely,4,5,4,AI + human (hybrid),No,"Yes, willing to pay",English,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0
51,Curious_Pragmatist,0,0,18-20,Expatriate resident,Dubai,In college or university,Female,Sometimes,5,Somewhat,4,"Yes, a lot",Definitely,3,4,3,Human professional only,Maybe,Only if free version available,English,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
52,Low_Need_Indifferent,0,0,15-17,Expatriate resident,Dubai,Currently not studying or working,Female,Rarely,2,"No, not really",3,Not at all,Probably,1,2,2,AI on its own,No,No,Both English and Arabic,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
53,Distressed_Skeptic,0,1,21-24,Expatriate resident,Dubai,Working professional,Male,Often,10,Not sure,1,Somewhat,Not sure,2,1,2,AI + human (hybrid),No,Not sure,English,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,Curious_Pragmatist,0,0,21-24,UAE National (Emirati),Ajman,Both studying and working,Female,Almost always,6,Somewhat,3,Somewhat,Definitely,5,4,4,AI on its own,No,Only if free version available,Arabic,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1
55,Curious_Pragmatist,0,0,21-24,Expatriate resident,Abu Dhabi,Working professional,Male,Often,5,Somewhat,3,Not really,Definitely not,4,3,4,AI + human (hybrid),Maybe,Only if free version available,Both English and Arabic,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
56,Distressed_Skeptic,0,0,25-27,Expatriate resident,Ajman,Working professional,Male,Almost always,8,Somewhat,2,Somewhat,Not sure,2,2,1,AI + human (hybrid),No,No,English,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
57,Tech_Savvy_Trusting,1,0,12-14,International student (short-term),Dubai,In school (middle/high school),Male,Sometimes,8,"Yes, definitely",2,"Yes, a lot",Definitely not,2,3,3,AI on its own,"Yes, definitely",Only if free version available,Both English and Arabic,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
58,Curious_Pragmatist,1,0,12-14,Other,Dubai,In school (middle/high school),Male,Rarely,7,Somewhat,3,Not at all,Probably,2,3,4,AI + human (hybrid),No,Only if free version available,English,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
59,Resilient_Optimizer,0,0,25-27,UAE National (Emirati),Dubai,Both studying and working,Male,Sometimes,3,"No, not really",4,Not really,Probably not,5,3,4,AI + human (hybrid),Maybe,Only if free version available,Arabic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
60,Low_Need_Indifferent,0,0,21-24,Expatriate resident,Abu Dhabi,Working professional,Female,Never,3,Somewhat,3,Not really,Not sure,2,2,2,No preference,No,No,English,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1
61,Low_Need_Indifferent,0,0,25-27,Expatriate resident,Dubai,Both studying and working,Female,Rarely,4,"Yes, definitely",4,"Yes, a lot",Probably not,3,2,2,AI + human (hybrid),No,Only if free version available,English,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
